Year,Ethnicity,Sex,Cause of Death,Count,Percent
2010,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,479,27
2010,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,30,2
2010,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,108,6
2010,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),46,3
2010,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,527,30
2010,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,9,1
2010,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",11,1
2010,ASIAN & PACIFIC ISLANDER,MALE,PARKINSONS DISEASE,7,0
2010,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,11,1
2010,ASIAN & PACIFIC ISLANDER,MALE,SHORT GESTATION/LBW,7,0
2010,ASIAN & PACIFIC ISLANDER,MALE,TUBERCULOSIS,5,0
2010,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,14,1
2010,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,59,1
2010,HISPANIC,FEMALE,ALZHEIMERS DISEASE,71,2
2010,HISPANIC,FEMALE,ASSAULT (HOMICIDE),22,0
2010,HISPANIC,FEMALE,ATHEROSCLEROSIS,15,0
2010,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,23,1
2010,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,168,4
2010,HISPANIC,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,10,0
2010,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,49,1
2010,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,156,4
2010,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",42,1
2010,HISPANIC,FEMALE,DIABETES MELLITUS,219,5
2010,HISPANIC,FEMALE,DISEASES OF HEART,1316,30
2010,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,95,2
2010,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,79,2
2010,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,228,5
2010,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),27,1
2010,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,1045,24
2010,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",48,1
2010,HISPANIC,FEMALE,PARKINSONS DISEASE,16,0
2010,HISPANIC,FEMALE,PEPTIC ULCER,9,0
2010,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",11,0
2010,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,50,1
2010,HISPANIC,FEMALE,SEPTICEMIA,33,1
2010,HISPANIC,FEMALE,SHORT GESTATION/LBW,19,0
2010,HISPANIC,FEMALE,VIRAL HEPATITIS,40,1
2010,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,132,3
2010,HISPANIC,MALE,ALZHEIMERS DISEASE,31,1
2010,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,28,1
2010,HISPANIC,MALE,ASSAULT (HOMICIDE),120,2
2010,HISPANIC,MALE,ATHEROSCLEROSIS,13,0
2010,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,18,0
2010,HISPANIC,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,14,0
2010,HISPANIC,MALE,CEREBROVASCULAR DISEASE,140,3
2010,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,150,3
2010,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,149,3
2010,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",38,1
2010,HISPANIC,MALE,DIABETES MELLITUS,187,4
2010,HISPANIC,MALE,DISEASES OF HEART,1355,28
2010,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,75,2
2010,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,189,4
2010,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,235,5
2010,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),75,2
2010,HISPANIC,MALE,MALIGNANT NEOPLASMS,1057,22
2010,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,46,1
2010,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",44,1
2010,HISPANIC,MALE,PARKINSONS DISEASE,18,0
2010,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,138,3
2010,HISPANIC,MALE,SEPTICEMIA,31,1
2010,HISPANIC,MALE,SHORT GESTATION/LBW,21,0
2010,HISPANIC,MALE,VIRAL HEPATITIS,88,2
2010,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,58,1
2010,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,88,1
2010,NON-HISPANIC BLACK,FEMALE,ANEMIAS,19,0
2010,NON-HISPANIC BLACK,FEMALE,AORTIC ANEURYSM AND DISSECTION,16,0
2010,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),47,1
2010,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,23,0
2010,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,26,0
2010,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,259,4
2010,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,43,1
2010,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,206,3
2010,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",33,0
2010,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,384,5
2010,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2282,32
2010,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,252,4
2010,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,152,2
2010,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,275,4
2010,NON-HISPANIC BLACK,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),19,0
2010,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1768,25
2010,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",86,1
2010,NON-HISPANIC BLACK,FEMALE,PEPTIC ULCER,15,0
2010,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",18,0
2010,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,63,1
2010,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,55,1
2010,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,29,0
2010,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,33,0
2010,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,147,2
2010,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,20,0
2010,NON-HISPANIC BLACK,MALE,ANEMIAS,20,0
2010,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,25,0
2010,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),301,5
2010,NON-HISPANIC BLACK,MALE,ATHEROSCLEROSIS,20,0
2010,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,19,0
2010,NON-HISPANIC BLACK,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,15,0
2010,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,171,3
2010,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,68,1
2010,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,202,3
2010,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",34,1
2010,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,279,4
2010,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2015,31
2010,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,178,3
2010,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,297,5
2010,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,201,3
2010,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),64,1
2010,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1540,23
2010,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,50,1
2010,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",70,1
2010,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,13,0
2010,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,111,2
2010,NON-HISPANIC BLACK,MALE,SEPTICEMIA,36,1
2010,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,35,1
2010,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,49,1
2010,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,164,1
2010,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,247,2
2010,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,22,0
2010,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,74,1
2010,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,69,1
2010,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,382,3
2010,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,19,0
2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,67,0
2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,502,4
2010,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",32,0
2010,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,258,2
2010,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,5351,40
2010,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,219,2
2010,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,24,0
2010,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,707,5
2010,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),61,0
2010,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3438,25
2010,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,16,0
2010,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",90,1
2010,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,55,0
2010,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,22,0
2010,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,75,1
2010,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,107,1
2010,NON-HISPANIC WHITE,FEMALE,SHORT GESTATION/LBW,14,0
2010,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS,32,0
2010,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING,272,2
2010,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE,94,1
2010,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION,49,0
2010,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE),25,0
2010,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS,46,0
2010,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS,91,1
2010,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE,276,2
2010,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,110,1
2010,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES,388,3
2010,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",33,0
2010,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS,245,2
2010,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,4495,37
2010,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,153,1
2010,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,76,1
2010,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA,614,5
2010,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE),182,1
2010,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS,3408,28
2010,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,57,0
2010,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",119,1
2010,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE,79,1
2010,NON-HISPANIC WHITE,MALE,PEPTIC ULCER,19,0
2010,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,211,2
2010,NON-HISPANIC WHITE,MALE,SEPTICEMIA,74,1
2010,NON-HISPANIC WHITE,MALE,SHORT GESTATION/LBW,14,0
2010,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS,82,1
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,44,3
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ALZHEIMERS DISEASE,24,2
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ANEMIAS,5,0
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ASSAULT (HOMICIDE),6,0
2011,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,11,1
2011,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,98,6
2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,6,0
2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,10,1
2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,30,2
2011,ASIAN & PACIFIC ISLANDER,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",7,0
2011,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,51,3
2011,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,402,26
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,46,3
2011,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,84,6
2011,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),23,2
2011,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,454,30
2011,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",18,1
2011,ASIAN & PACIFIC ISLANDER,FEMALE,PARKINSONS DISEASE,5,0
2011,ASIAN & PACIFIC ISLANDER,FEMALE,SEPTICEMIA,11,1
2011,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,6,0
2011,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,61,3
2011,ASIAN & PACIFIC ISLANDER,MALE,ALZHEIMERS DISEASE,18,1
2011,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,6,0
2011,ASIAN & PACIFIC ISLANDER,MALE,ASSAULT (HOMICIDE),9,0
2011,ASIAN & PACIFIC ISLANDER,MALE,ATHEROSCLEROSIS,6,0
2011,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,11,1
2011,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,79,4
2011,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,15,1
2011,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LOWER RESPIRATORY DISEASES,73,4
2011,ASIAN & PACIFIC ISLANDER,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",13,1
2011,ASIAN & PACIFIC ISLANDER,MALE,DIABETES MELLITUS,60,3
2011,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,452,25
2011,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,37,2
2011,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,94,5
2011,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),50,3
2011,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,550,30
2011,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,11,1
2011,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",17,1
2011,ASIAN & PACIFIC ISLANDER,MALE,PARKINSONS DISEASE,11,1
2011,ASIAN & PACIFIC ISLANDER,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,5,0
2011,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,15,1
2011,ASIAN & PACIFIC ISLANDER,MALE,SHORT GESTATION/LBW,5,0
2011,ASIAN & PACIFIC ISLANDER,MALE,TUBERCULOSIS,10,1
2011,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,16,1
2011,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,52,1
2011,HISPANIC,FEMALE,ALZHEIMERS DISEASE,90,2
2011,HISPANIC,FEMALE,AORTIC ANEURYSM AND DISSECTION,12,0
2011,HISPANIC,FEMALE,ASSAULT (HOMICIDE),20,0
2011,HISPANIC,FEMALE,ATHEROSCLEROSIS,15,0
2011,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,17,0
2011,HISPANIC,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,8,0
2011,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,179,4
2011,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,39,1
2011,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,156,3
2011,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",21,0
2011,HISPANIC,FEMALE,DIABETES MELLITUS,196,4
2011,HISPANIC,FEMALE,DISEASES OF HEART,1348,30
2011,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,83,2
2011,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,70,2
2011,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,218,5
2011,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),21,0
2011,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,1085,24
2011,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",42,1
2011,HISPANIC,FEMALE,PARKINSONS DISEASE,16,0
2011,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",12,0
2011,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,56,1
2011,HISPANIC,FEMALE,SEPTICEMIA,42,1
2011,HISPANIC,FEMALE,SHORT GESTATION/LBW,16,0
2011,HISPANIC,FEMALE,VIRAL HEPATITIS,39,1
2011,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,180,4
2011,HISPANIC,MALE,ALZHEIMERS DISEASE,38,1
2011,HISPANIC,MALE,ANEMIAS,10,0
2011,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,20,0
2011,HISPANIC,MALE,ASSAULT (HOMICIDE),115,2
2011,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,18,0
2011,HISPANIC,MALE,CEREBROVASCULAR DISEASE,147,3
2011,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,167,3
2011,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,124,3
2011,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",37,1
2011,HISPANIC,MALE,DIABETES MELLITUS,200,4
2011,HISPANIC,MALE,DISEASES OF HEART,1201,25
2011,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,69,1
2011,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,162,3
2011,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,209,4
2011,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),93,2
2011,HISPANIC,MALE,MALIGNANT NEOPLASMS,1144,23
2011,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,48,1
2011,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",44,1
2011,HISPANIC,MALE,PARKINSONS DISEASE,21,0
2011,HISPANIC,MALE,PEPTIC ULCER,9,0
2011,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,145,3
2011,HISPANIC,MALE,SEPTICEMIA,40,1
2011,HISPANIC,MALE,SHORT GESTATION/LBW,12,0
2011,HISPANIC,MALE,VIRAL HEPATITIS,105,2
2011,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,76,1
2011,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,90,1
2011,NON-HISPANIC BLACK,FEMALE,ANEMIAS,13,0
2011,NON-HISPANIC BLACK,FEMALE,AORTIC ANEURYSM AND DISSECTION,19,0
2011,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),52,1
2011,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,20,0
2011,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,41,1
2011,NON-HISPANIC BLACK,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,16,0
2011,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,281,4
2011,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,39,1
2011,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,221,3
2011,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",29,0
2011,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,410,6
2011,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2243,30
2011,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,225,3
2011,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,144,2
2011,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,273,4
2011,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1918,26
2011,NON-HISPANIC BLACK,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,17,0
2011,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",83,1
2011,NON-HISPANIC BLACK,FEMALE,PEPTIC ULCER,22,0
2011,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",13,0
2011,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,65,1
2011,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,52,1
2011,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,27,0
2011,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,33,0
2011,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,133,2
2011,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,39,1
2011,NON-HISPANIC BLACK,MALE,ANEMIAS,24,0
2011,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,29,0
2011,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),266,4
2011,NON-HISPANIC BLACK,MALE,ATHEROSCLEROSIS,15,0
2011,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,16,0
2011,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,200,3
2011,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,66,1
2011,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,200,3
2011,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",31,0
2011,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,307,5
2011,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,1840,28
2011,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,154,2
2011,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,277,4
2011,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,243,4
2011,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),53,1
2011,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1590,24
2011,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,45,1
2011,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",76,1
2011,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,18,0
2011,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,135,2
2011,NON-HISPANIC BLACK,MALE,SEPTICEMIA,54,1
2011,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,17,0
2011,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,56,1
2011,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,184,1
2011,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,231,2
2011,NON-HISPANIC WHITE,FEMALE,ANEMIAS,15,0
